,title,abstract,affiliations,authors,journal,date,keywords,url
170,Cyclosporine A Protects Retinal Explants against Hypoxia,"The retina is a complex neurological tissue and is extremely sensitive to an insufficient supply of oxygen. Hypoxia plays a major role in several retinal diseases, and often results in the loss of cells that are essential for vision. Cyclosporine A (CsA) is a widely used immunosuppressive drug. Furthermore, treatment with CsA has neuroprotective effects in several neurologic disorders. No data are currently available on the tolerated concentration of CsA when applied to the retina. To reveal the most effective dose, retinal explants from rat eyes were exposed to different CsA concentrations (1-9 µg/mL). Immunohistochemistry with brain-specific homeobox/POU domain protein 3a (Brn3a) and TUNEL staining was performed to determine the percentage of total and apoptotic retinal ganglion cells (RGCs), as well as the responses of micro- and macroglial cells. Furthermore, optical coherence tomography (OCT) scans were performed to measure the changes in retinal thickness, and recordings with multielectrode array (MEA) were performed to evaluate spontaneous RGC spiking. To examine the neuroprotective effects, retinas were subjected to a hypoxic insult by placing them in a nitrogen-streamed hypoxic chamber prior to CsA treatment. In the biocompatibility tests, the different CsA concentrations had no negative effect on RGCs and microglia. Neuroprotective effects after a hypoxic insult on RGCs was demonstrated at a concentration of 9 µg/mL CsA. CsA counteracted the hypoxia-induced loss of RGCs, reduced the percentage of TUNEL+ RGCs, and prevented a decrease in retinal thickness. Taken together, the results of this study suggest that CsA can effectively protect RGCs from hypoxia, and the administered concentrations were well tolerated. Further in vivo studies are needed to determine whether local CsA treatment may be a suitable option for hypoxic retinal diseases.","['1 Centre for Ophthalmology Tübingen, University Eye Hospital Tübingen, 72076 Tübingen, Germany.', '2 Clinic for Ophthalmology, University Medical Center Hamburg-Eppendorf (UKE), 20246 Hamburg, Germany.', '3 Department of Ophthalmology, Klinikum Stuttgart, 70174 Stuttgart, Germany.', '4 NMI Natural and Medical Sciences Institute, University of Tübingen, 72770 Reutlingen, Germany.', '5 Institute of Electrodynamics, Microwave and Circuit Engineering, TU Wien, 1040 Vienna, Austria.']","Sven Schnichels, Maximilian Schultheiss, Patricia Klemm, Matthias Blak, Thoralf Herrmann, Marion Melchinger, Karl-Ulrich Bartz-Schmidt, Marina Löscher, Günther Zeck, Martin Stehphan Spitzer, José Hurst, ",International journal of molecular sciences,2021,cyclosporine A; hypoxia; ischemia; neuroprotection; retinal ganglion cells.,https://pubmed.ncbi.nlm.nih.gov/34638537
171,An optimized protocol for retina single-cell RNA sequencing,"Purpose:
        
      
      Single-cell RNA sequencing (scRNA-seq) is a powerful technique used to explore gene expression at the single cell level. However, appropriate preparation of samples is essential to obtain the most information out of this transformative technology. Generating high-quality single-cell suspensions from the retina is critical to preserve the native expression profile that will ensure meaningful transcriptome data analysis. Methods:
        
      
      We modified the conditions for rapid and optimal dissociation of retina sample preparation. We also included additional filtering steps in data analysis for retinal scRNA-seq. Results:
        
      
      We report a gentle method for dissociation of the mouse retina that minimizes cell death and preserves cell morphology. This protocol also results in detection of higher transcriptional complexity. In addition, the modified computational pipeline leads to better-quality single-cell RNA-sequencing data in retina samples. We also demonstrate the advantages and limitations of using fresh versus frozen retinas to prepare cell or nuclei suspensions for scRNA-seq. Conclusions:
        
      
      We provide a simple yet robust and reproducible protocol for retinal scRNA-seq analysis, especially for comparative studies.","['1 Neurobiology, Neurodegeneration & Repair Laboratory, National Eye Institute, National Institutes of Health, Bethesda, MD.', '2 Division of Cancer Epidemiology and Genetics, National Cancer Institute, National Institutes of Health & NCI-Frederick, Leidos Biomedical Research Inc., Frederick, MD.', '3 Single Cell Analysis Facility, Cancer Research Technology Program, Frederick National Laboratory, Bethesda, MD.', '4 Laboratory of Cochlear Development, National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Bethesda, MD.', '5 Genomics and Computational Biology Core, National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Bethesda, MD.', '6 Biological Imaging Core, National Eye Institute, National Institutes of Health, Bethesda, MD.']","Benjamin R Fadl, Seth A Brodie, Michael Malasky, Joseph F Boland, Michael C Kelly, Matthew W Kelley, Erich Boger, Robert Fariss, Anand Swaroop, Laura Campello, ",Molecular vision,2020,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33088174
172,Quantum superposition inspired spiking neural network,"Despite advances in artificial intelligence models, neural networks still cannot achieve human performance, partly due to differences in how information is encoded and processed compared with human brain. Information in an artificial neural network (ANN) is represented using a statistical method and processed as a fitting function, enabling handling of structural patterns in image, text, and speech processing. However, substantial changes to the statistical characteristics of the data, for example, reversing the background of an image, dramatically reduce the performance. Here, we propose a quantum superposition spiking neural network (QS-SNN) inspired by quantum mechanisms and phenomena in the brain, which can handle reversal of image background color. The QS-SNN incorporates quantum theory with brain-inspired spiking neural network models from a computational perspective, resulting in more robust performance compared with traditional ANN models, especially when processing noisy inputs. The results presented here will inform future efforts to develop brain-inspired artificial intelligence.","['1 Research Center for Brain-Inspired Intelligence, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.', '2 School of Future Technology, University of Chinese Academy of Sciences, Beijing 100190, China.', '3 Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai 200031, China.', '4 National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.', '5 School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing 100190, China.']","Yinqian Sun, Yi Zeng, Tielin Zhang, ",iScience,2021,artificial intelligence; artificial intelligence theory; quantum theory.,https://pubmed.ncbi.nlm.nih.gov/34401664
173,"Editorial: Spiking Neural Network Learning, Benchmarking, Programming and Executing",NO_ABSTRACT,"['1 Department of Precision Instrument, Center for Brain Inspired Computing Research, Tsinghua University, Beijing, China.', '2 Beijing Innovation Center for Future Chips, Tsinghua University, Beijing, China.', '3 Department of Electrical and Computer Engineering, University of California, Santa Barbara, Santa Barbara, CA, United States.', '4 Huawei Technologies, Shenzhen, China.', '5 Department of Cognitive Science, University of California, Irvine, Irvine, CA, United States.', '6 Department of Electrical Engineering, National University of Singapore, Singapore, Singapore.']","Guoqi Li, Lei Deng, Yansong Chua, Peng Li, Emre O Neftci, Haizhou Li, ",Frontiers in neuroscience,2020,SNN benchmarks; SNN learning algorithms; deep spiking neural networks; neuromorphics; programming framework.,https://pubmed.ncbi.nlm.nih.gov/32351350
174,Quantization Framework for Fast Spiking Neural Networks,"Compared with artificial neural networks (ANNs), spiking neural networks (SNNs) offer additional temporal dynamics with the compromise of lower information transmission rates through the use of spikes. When using an ANN-to-SNN conversion technique there is a direct link between the activation bit precision of the artificial neurons and the time required by the spiking neurons to represent the same bit precision. This implicit link suggests that techniques used to reduce the activation bit precision of ANNs, such as quantization, can help shorten the inference latency of SNNs. However, carrying ANN quantization knowledge over to SNNs is not straightforward, as there are many fundamental differences between them. Here we propose a quantization framework for fast SNNs (QFFS) to overcome these difficulties, providing a method to build SNNs with enhanced latency and reduced loss of accuracy relative to the baseline ANN model. In this framework, we promote the compatibility of ANN information quantization techniques with SNNs, and suppress ""occasional noise"" to minimize accuracy loss. The resulting SNNs overcome the accuracy degeneration observed previously in SNNs with a limited number of time steps and achieve an accuracy of 70.18% on ImageNet within 8 time steps. This is the first demonstration that SNNs built by ANN-to-SNN conversion can achieve a similar latency to SNNs built by direct training.","['1 Advanced Processor Technologies (APT) Group, Department of Computer Science, The University of Manchester, Manchester, United Kingdom.', '2 Beijing Academy of Artificial Intelligence, Beijing, China.', '3 National Biomedical Imaging Center, Peking University, Beijing, China.']","Chen Li, Lei Ma, Steve Furber, ",Frontiers in neuroscience,2022,ANN-to-SNN conversion; fast spiking neural networks; inference latency; occasional noise; quantization; spiking neural networks.,https://pubmed.ncbi.nlm.nih.gov/35928011
175,Mitochondria: The Retina's Achilles' Heel in AMD,"Strong experimental evidence from studies in human donor retinas and animal models supports the idea that the retinal pathology associated with age-related macular degeneration (AMD) involves mitochondrial dysfunction and consequent altered retinal metabolism. This chapter provides a brief overview of mitochondrial structure and function, summarizes evidence for mitochondrial defects in AMD, and highlights the potential ramifications of these defects on retinal health and function. Discussion of mitochondrial haplogroups and their association with AMD brings to light how mitochondrial genetics can influence disease outcome. As one of the most metabolically active tissues in the human body, there is strong evidence that disruption in key metabolic pathways contributes to AMD pathology. The section on retinal metabolism reviews cell-specific metabolic differences and how the metabolic interdependence of each retinal cell type creates a unique ecosystem that is disrupted in the diseased retina. The final discussion includes strategies for therapeutic interventions that target key mitochondrial pathways as a treatment for AMD.","['1 Department of Ophthalmology and Visual Neurosciences, University of Minnesota, Minneapolis, MN, USA. ferri013@umn.edu.', '2 Gavin Herbert Eye Institute, University of California, Irvine, Irvine, CA, USA.', '3 Departments of Biochemistry and Ophthalmology, University of Washington, Seattle, WA, USA.', '4 Department of Ophthalmology, University of Florida, Gainesville, FL, USA.']","Deborah A Ferrington, M Cristina Kenney, Shari R Atilano, James B Hurley, Emily E Brown, John D Ash, ",Advances in experimental medicine and biology,NO_DATE,Age-related macular degeneration; Ecosystem model; Metabolism; Mitochondria; Proteomics; mtDNA.,https://pubmed.ncbi.nlm.nih.gov/33848005
176,Wnt Signaling in Inner Blood-Retinal Barrier Maintenance,"The retina is a light-sensing ocular tissue that sends information to the brain to enable vision. The blood-retinal barrier (BRB) contributes to maintaining homeostasis in the retinal microenvironment by selectively regulating flux of molecules between systemic circulation and the retina. Maintaining such physiological balance is fundamental to visual function by facilitating the delivery of nutrients and oxygen and for protection from blood-borne toxins. The inner BRB (iBRB), composed mostly of inner retinal vasculature, controls substance exchange mainly via transportation processes between (paracellular) and through (transcellular) the retinal microvascular endothelium. Disruption of iBRB, characterized by retinal edema, is observed in many eye diseases and disturbs the physiological quiescence in the retina's extracellular space, resulting in vision loss. Consequently, understanding the mechanisms of iBRB formation, maintenance, and breakdown is pivotal to discovering potential targets to restore function to compromised physiological barriers. These unraveled targets can also inform potential drug delivery strategies across the BRB and the blood-brain barrier into retinas and brain tissues, respectively. This review summarizes mechanistic insights into the development and maintenance of iBRB in health and disease, with a specific focus on the Wnt signaling pathway and its regulatory role in both paracellular and transcellular transport across the retinal vascular endothelium.","[""1 Department of Ophthalmology, Boston Children's Hospital, Harvard Medical School, Boston, MA 02115, USA.""]","Felix Yemanyi, Kiran Bora, Alexandra K Blomfield, Zhongxiao Wang, Jing Chen, ",International journal of molecular sciences,2021,Wnt signaling; blood–retinal barrier; endothelial cells; paracellular transport; transcytosis.,https://pubmed.ncbi.nlm.nih.gov/34769308
177,Photoreceptor cell transplantation for future treatment of retinitis pigmentosa,"In inherited retinal diseases such retinitis pigmentosa, characterized by progressive loss of light sensitive neurons (photoreceptors), cell therapy is now considered as an attractive strategy. Photoreceptor cell replacement would be valuable for restoring function to retinas in a way that is independent from the cause of the disease. With advances in stem cell biology, considerable strides have been made towards the generation of retinal cells, in particular with the development of 3D culture systems allowing the generation of retinal organoids from pluripotent stem cells. In this review, we present a state-of-the art of preclinical strategies conducted in animal models for photoreceptor replacement from stem cell-derived photoreceptors and we discuss the important obstacles to overcome in the future.","['1 Institut de la Vision, Sorbonne Université, Inserm, CNRS, 17 rue Moreau, F-75012 Paris, France.']","Olivier Goureau, Gaël Orieux, ",Medecine sciences : M/S,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32614311
178,Extracellular K+ reflects light-evoked changes in retinal energy metabolism,"Retinal neurons spend most of their energy to support the transmembrane movement of ions. Light-induced electrical activity is associated with a redistribution of ions, which affects the energy demand and results in a change in metabolism. Light-induced metabolic changes are expected to be different in distal and proximal retina due to differences in the light responses of different retinal cells. Extracellular K+ concentration ([K+]o) is a reliable indicator of local electrophysiological activity, and the purpose of this work was to compare [K+]o changes evoked by steady and flickering light in distal and proximal retina. Data were obtained from isolated mouse (C57Bl/6J) retinae. Double-barreled K+-selective microelectrodes were used to simultaneously record [K+]o and local ERGs. In the distal retina, photoreceptor hyperpolarization led to suppression of ion transfer, a decrease in [K+]o by 0.3-0.5 mM, reduced energy demand, and, as previously shown in vivo, decreased metabolism. Flickering light had the same effect on [K+]o in the distal retina as steady light of equivalent illumination. The conductance and voltage changes in postreceptor neurons are cell-specific, but the overall effect of steady light in the proximal retina is excitation, which is reflected in a [K+]o increase there (by a maximum of 0.2 mM). In steady light the [K+]o increase lasts only 1-2 s, but a sustained [K+]o increase is evoked by flickering light. A squarewave low frequency (1 Hz) flicker of photopic intensity produced the largest increases in [K+]o. Judging by measurements of [K+]o, steady illumination decreases energy metabolism in the distal retina, but not in the proximal retina (except for the first few seconds). Flickering light evokes the same decrease in the distal retina, but also evokes a sustained [K+]o increase in the proximal retina, suggesting an increase of metabolic demand there, especially at 1 Hz, when neurons of both on- and off-pathways appear to contribute maximally. This proximal retinal metabolic response to flicker correlates to the increase in blood flow during flicker that constitutes neurovascular coupling.","['1 Department of Biomedical Engineering, 2145 Sheridan Road, Northwestern University, Evanston, IL, 60208-3107, United States. Electronic address: andrey.dmitriev@northwestern.edu.', '2 Department of Biomedical Engineering, 2145 Sheridan Road, Northwestern University, Evanston, IL, 60208-3107, United States. Electronic address: alexander.dmitriev@northwestern.edu.', '3 Department of Biomedical Engineering, 2145 Sheridan Road, Northwestern University, Evanston, IL, 60208-3107, United States; Department of Neurobiology, 2205 Tech Drive, Northwestern University, Evanston, IL, 60208, United States; Department of Ophthalmology, Northwestern University, 645 North Michigan Avenue, Suite 440, Chicago, IL, 60611, United States. Electronic address: r-linsenmeier@northwestern.edu.']","Andrey V Dmitriev, Alexander A Dmitriev, Robert A Linsenmeier, ",Experimental eye research,NO_DATE,Electroretinogram; Energy metabolism; K(+)-selective microelectrodes; Mouse; Retina.,https://pubmed.ncbi.nlm.nih.gov/35636490
179,Orientation-Selective Retinal Circuits in Vertebrates,"Visual information is already processed in the retina before it is transmitted to higher visual centers in the brain. This includes the extraction of salient features from visual scenes, such as motion directionality or contrast, through neurons belonging to distinct neural circuits. Some retinal neurons are tuned to the orientation of elongated visual stimuli. Such 'orientation-selective' neurons are present in the retinae of most, if not all, vertebrate species analyzed to date, with species-specific differences in frequency and degree of tuning. In some cases, orientation-selective neurons have very stereotyped functional and morphological properties suggesting that they represent distinct cell types. In this review, we describe the retinal cell types underlying orientation selectivity found in various vertebrate species, and highlight their commonalities and differences. In addition, we discuss recent studies that revealed the cellular, synaptic and circuit mechanisms at the basis of retinal orientation selectivity. Finally, we outline the significance of these findings in shaping our current understanding of how this fundamental neural computation is implemented in the visual systems of vertebrates.","[""1 Centre for Developmental Neurobiology, King's College London, London, United Kingdom."", ""2 MRC Centre for Neurodevelopmental Disorders, King's College London, London, United Kingdom.""]","Paride Antinucci, Robert Hindges, ",Frontiers in neural circuits,2018,amacrine cell; cat; mouse; orientation selectivity; primate; rabbit; retinal ganglion cell; zebrafish.,https://pubmed.ncbi.nlm.nih.gov/29467629
180,Models developed for spiking neural networks,"Emergence of deep neural networks (DNNs) has raised enormous attention towards artificial neural networks (ANNs) once again. They have become the state-of-the-art models and have won different machine learning challenges. Although these networks are inspired by the brain, they lack biological plausibility, and they have structural differences compared to the brain. Spiking neural networks (SNNs) have been around for a long time, and they have been investigated to understand the dynamics of the brain. However, their application in real-world and complicated machine learning tasks were limited. Recently, they have shown great potential in solving such tasks. Due to their energy efficiency and temporal dynamics there are many promises in their future development. In this work, we reviewed the structures and performances of SNNs on image classification tasks. The comparisons illustrate that these networks show great capabilities for more complicated problems. Furthermore, the simple learning rules developed for SNNs, such as STDP and R-STDP, can be a potential alternative to replace the backpropagation algorithm used in DNNs.•Different building blocks of spiking neural networks are explained in this work.•Developed models for SNNs are introduced based on their characteristics and building blocks.","['1 School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran.', '2 School of Cognitive Sciences, Institute for Research in Fundamental Sciences (IPM), Tehran, Iran.']","Shahriar Rezghi Shirsavar, Abdol-Hossein Vahabie, Mohammad-Reza A Dehaqani, ",MethodsX,2023,ANN-to-SNN; Backpropagation; Biological plausibility; Literature review; R-STDP; STDP; Spiking neural network.,https://pubmed.ncbi.nlm.nih.gov/37077894
181,Automated Classification of Apoptosis in Phase Contrast Microscopy Using Capsule Network,"Automatic and accurate classification of apoptosis, or programmed cell death, will facilitate cell biology research. The state-of-the-art approaches in apoptosis classification use deep convolutional neural networks (CNNs). However, these networks are not efficient in encoding the part-whole relationships, thus requiring a large number of training samples to achieve robust generalization. This paper proposes an efficient variant of capsule networks (CapsNets) as an alternative to CNNs. Extensive experimental results demonstrate that the proposed CapsNets achieve competitive performances in target cell apoptosis classification, while significantly outperforming CNNs when the number of training samples is small. To utilize temporal information within microscopy videos, we propose a recurrent CapsNet constructed by stacking a CapsNet and a bi-directional long short-term recurrent structure. Our experiments show that when considering temporal constraints, the recurrent CapsNet achieves 93.8% accuracy and makes significantly more consistent prediction than NNs.",NO_AFFILIATIONS,"Aryan Mobiny, Hengyang Lu, Hien V Nguyen, Badrinath Roysam, Navin Varadarajan, ",IEEE transactions on medical imaging,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31135355
182,Online Spatio-Temporal Learning in Deep Neural Networks,"Biological neural networks are equipped with an inherent capability to continuously adapt through online learning. This aspect remains in stark contrast to learning with error backpropagation through time (BPTT) that involves offline computation of the gradients due to the need to unroll the network through time. Here, we present an alternative online learning algorithm framework for deep recurrent neural networks (RNNs) and spiking neural networks (SNNs), called online spatio-temporal learning (OSTL). It is based on insights from biology and proposes the clear separation of spatial and temporal gradient components. For shallow SNNs, OSTL is gradient equivalent to BPTT enabling for the first time online training of SNNs with BPTT-equivalent gradients. In addition, the proposed formulation unveils a class of SNN architectures trainable online at low time complexity. Moreover, we extend OSTL to a generic form, applicable to a wide range of network architectures, including networks comprising long short-term memory (LSTM) and gated recurrent units (GRUs). We demonstrate the operation of our algorithm framework on various tasks from language modeling to speech recognition and obtain results on par with the BPTT baselines.",NO_AFFILIATIONS,"Thomas Bohnstingl, Stanislaw Wozniak, Angeliki Pantazi, Evangelos Eleftheriou, ",IEEE transactions on neural networks and learning systems,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35294357
183,Melanopsin phototransduction: beyond canonical cascades,"Melanopsin is a visual pigment that is expressed in a small subset of intrinsically photosensitive retinal ganglion cells (ipRGCs). It is involved in regulating non-image forming visual behaviors, such as circadian photoentrainment and the pupillary light reflex, while also playing a role in many aspects of image-forming vision, such as contrast sensitivity. Melanopsin was initially discovered in the melanophores of the skin of the frog Xenopus, and subsequently found in a subset of ganglion cells in rat, mouse and primate retinas. ipRGCs were initially thought to be a single retinal ganglion cell population, and melanopsin was thought to activate a single, invertebrate-like Gq/transient receptor potential canonical (TRPC)-based phototransduction cascade within these cells. However, in the 20 years since the discovery of melanopsin, our knowledge of this visual pigment and ipRGCs has expanded dramatically. Six ipRGC subtypes have now been identified in the mouse, each with unique morphological, physiological and functional properties. Multiple subtypes have also been identified in other species, suggesting that this cell type diversity is a general feature of the ipRGC system. This diversity has led to a renewed interest in melanopsin phototransduction that may not follow the canonical Gq/TRPC cascade in the mouse or in the plethora of other organisms that express the melanopsin photopigment. In this Review, we discuss recent findings and discoveries that have challenged the prevailing view of melanopsin phototransduction as a single pathway that influences solely non-image forming functions.","['1 Department of Neurobiology, Northwestern University, Evanston, IL 60208, USA.', '2 Interdisciplinary Biological Sciences Program, Northwestern University, Evanston, IL 60208, USA.', '3 University of Maryland Baltimore County, Department of Biological Sciences, Baltimore, MD 21250, USA.', '4 Section on Light and Circadian Rhythms (SLCR), National Institute of Mental Health, NIH, Bethesda, MD 20892, USA.', '5 Department of Ophthalmology, Feinberg School of Medicine, Chicago, IL 60611, USA.']","Ely Contreras, Alexis P Nobleman, Phyllis R Robinson, Tiffany M Schmidt, ",The Journal of experimental biology,2021,Cascades; GPCR; Melanopsin; Phototransduction; Retina; Signaling; Vision.,https://pubmed.ncbi.nlm.nih.gov/34842918
184,MICaps: Multi-instance capsule network for machine inspection of Munro's microabscess,"Munro's Microabscess (MM) is the diagnostic hallmark of psoriasis. Neutrophil detection in the Stratum Corneum (SC) of the skin epidermis is an integral part of MM detection in skin biopsy. The microscopic inspection of skin biopsy is a tedious task and staining variations in skin histopathology often hinder human performance to differentiate neutrophils from skin keratinocytes. Motivated from this, we propose a computational framework that can assist human experts and reduce potential errors in diagnosis. The framework first segments the SC layer, and multiple patches are sampled from the segmented regions which are classified to detect neutrophils. Both UNet and CapsNet are used for segmentation and classification. Experiments show that of the two choices, CapsNet, owing to its robustness towards better hierarchical object representation and localisation ability, appears as a better candidate for both segmentation and classification tasks and hence, we termed our framework as MICaps. The training algorithm explores both minimisation of Dice Loss and Focal Loss and makes a comparative study between the two. The proposed framework is validated with our in-house dataset consisting of 290 skin biopsy images. Two different experiments are considered. Under the first protocol, only 3-fold cross-validation is done to directly compare the current results with the state-of-the-art ones. Next, the performance of the system on a held-out data set is reported. The experimental results show that MICaps improves the state-of-the-art diagnosis performance by 3.27% (maximum) and reduces the number of model parameters by 50%.","['1 National Library of Medicine, National Institutes of Health, Bethesda, MD, USA. Electronic address: anabik.pal@nih.gov.', '2 Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, India.', '3 Department of Genetics, University of Pennsylvania Perelman School of Medicine, USA.', '4 Human Genetics Unit, Indian Statistical Institute, India.', '5 Consultant Dermatologist, West Bengal, India.', '6 Center for Computational Imaging & Simulation Technologies in Biomedicine, University of Leeds, UK.']","Anabik Pal, Akshay Chaturvedi, Aditi Chandra, Raghunath Chatterjee, Swapan Senapati, Alejandro F Frangi, Utpal Garain, ",Computers in biology and medicine,2021,Capsule network; Convolutional neural network; Dataset; Histopathology image; Munro's microabscess; Psoriasis skin biopsy; Segmentation; Super-pixel.,https://pubmed.ncbi.nlm.nih.gov/34864301
185,Biology and molecular interactions of Parastagonospora nodorum blotch of wheat,"Parastagonospora nodorum is one of the important necrotrophic pathogens of wheat which causes severe economical loss to crop yield. So far, a number of effectors of Parastagonospora nodorum origin and their target interacting genes on the host plant have been characterized. Since targeting effector-sensitive gene carefully can be helpful in breeding for resistance. Therefore, constant efforts are required to further characterize the effectors, their interacting genes, and underlying biochemical pathways. Furthermore, to develop effective counter-strategies against emerging diseases, continuous efforts are required to determine the qualitative resistance that demands to screen of diverse genotypes for host resistance. Stagonospora nodorum blotch also refers to as Stagonospora glume blotch and leaf is caused by Parastagonospora nodorum. The pathogen deploys necrotrophic effectors for the establishment and development on wheat plants. The necrotrophic effectors and their interaction with host receptors lead to the establishment of infection on leaves and extensive lesions formation which either results in host cell death or suppression/activation of host defence mechanisms. The wheat Stagonospora nodorum interaction involves a set of nine host gene-necrotrophic effector interactions. Out of these, Snn1-SnTox1, Tsn1-SnToxA and Snn-SnTox3 are one of the most studied interaction, due to its role in the suppression of reactive oxygen species production, regulating the cytokinin content through ethylene-dependent wayduring initial infection stage. Further, although the molecular basis is not fully unveiled, these effectors regulate the redox state and influence the ethylene biosynthesis in infected wheat plants. Here, we have discussed the biology of the wheat pathogen Parastagonospora nodorum, role of its necrotrophic effectors and their interacting sensitivity genes on the redox state, how they hijack the resistance mechanisms, hormonal regulated immunity and other signalling pathways in susceptible wheat plants. The information generated from effectors and their corresponding sensitivity genes and other biological processes could be utilized effectively for disease management strategies.","['1 Division of Plant Pathology, ICAR-Indian Agricultural Research Institute, New Delhi, 110012, India.', '2 University Centre for Research and Development, Chandigarh University, Gharuan, 140413, Punjab, India. ankvivek@gmail.com.', '3 Crop Improvement Division, ICAR-Vivekananda Parvatiya Krishi Anusandhan Sansthan, Almora, Uttarakhand, India.', '4 College of Horticulture and Forestry, Neri, Dr YS Parmar University of Horticulture and Forestry, Solan, Hamirpur, 177 001, India.', '5 Department of Plant Pathology, CSK HPKV Palampur, Palampur, 176062, Himachal Pradesh, India.']","Shabnam Katoch, Vivek Sharma, Devender Sharma, Richa Salwan, S K Rana, ",Planta,2021,Biotic; Effectors; Necrotrophic; Pathogen; Resistance; Stress.,https://pubmed.ncbi.nlm.nih.gov/34914013
186,Anticipation and negative group delay in a retina,"The mechanism of negative group delay (NGD) is used to understand the anticipatory capability of a retina. Experiments with retinas from bullfrogs are performed to compare with the predictions of the NGD model. In particular, whole field stochastic stimulations with various autocorrelation times are used to probe anticipatory responses from the retina. We find that the NGD model can reproduce essential features of experimental observations characterized by the cross correlations between the stimulation and the retinal responses. Experiments with dark light pulse stimulations further support the NGD mechanism, with the retina producing time-advanced pulse responses. However, no time-advanced pulse responses are produced by bright pulses. Counterintuitively, the NGD model shows that it is the delay in the system which gives rise to anticipation because of the negative feedback adaptation mechanism.","['1 Department of Physics, National Central University, Chungli District, Taoyuan 320, Taiwan, Republic of China.', '2 Institute of Physics, Academia Sinica, Nankang, Taipei 115, Taiwan, Republic of China.']","Po-Yu Chou, Jo-Fan Chien, Kevin Sean Chen, Yu-Ting Huang, Chun-Chung Chen, C K Chan, ",Physical review. E,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33736006
187,"Microglia in the Retina: Roles in Development, Maturity, and Disease","Microglia, the primary resident immune cell type, constitute a key population of glia in the retina. Recent evidence indicates that microglia play significant functional roles in the retina at different life stages. During development, retinal microglia regulate neuronal survival by exerting trophic influences and influencing programmed cell death. During adulthood, ramified microglia in the plexiform layers interact closely with synapses to maintain synaptic structure and function that underlie the retina's electrophysiological response to light. Under pathological conditions, retinal microglia participate in potentiating neurodegeneration in diseases such as glaucoma, retinitis pigmentosa, and age-related neurodegeneration by producing proinflammatory neurotoxic cytokines and removing living neurons via phagocytosis. Modulation of pathogenic microglial activation states and effector mechanisms has been linked to neuroprotection in animal models of retinal diseases. These findings have led to the design of early proof-of-concept clinical trials with microglial modulation as a therapeutic strategy.","['1 Unit on Neuron-Glia Interactions in Retinal Disease, National Eye Institute, National Institutes of Health, Bethesda, Maryland 20892, USA; email: sean.silverman@nih.gov , wongw@nih.gov.']","Sean M Silverman, Wai T Wong, ",Annual review of vision science,2018,development; disease; homeostasis; microglia; retina; therapy.,https://pubmed.ncbi.nlm.nih.gov/29852094
188,A Co-Designed Neuromorphic Chip With Compact (17.9K F2) and Weak Neuron Number-Dependent Neuron/Synapse Modules,"Many efforts have been made to improve the neuron integration efficiency on neuromorphic chips, such as using emerging memory devices and shrinking CMOS technology nodes. However, in the fully connected (FC) neuromorphic core, increasing the number of neurons will lead to a square increase in synapse & dendrite costs and a high-slope linear increase in soma costs, resulting in an explosive growth of core hardware costs. We propose a co-designed neuromorphic core (SRCcore) based on the quantized spiking neural network (SNN) technology and compact chip design methodology. The cost of the neuron/synapse module in SRCcore weakly depends on the neuron number, which effectively relieves the growth pressure of the core area caused by increasing the neuron number. In the proposed BICS chip based on SRCcore, although the neuron/synapse module implements 1∼16 times of neurons and 1∼66 times of synapses, it only costs an area of 1.79 × 107 F2, which is 7.9%∼38.6% of that in previous works. Based on the weight quantization strategy matched with SRCcore, quantized SNNs achieve 0.05%∼2.19% higher accuracy than previous works, thus supporting the design and application of SRCcore. Finally, a cross-modeling application is demonstrated based on the chip. We hope this work will accelerate the development of cortical-scale neuromorphic systems.",NO_AFFILIATIONS,"S G Hu, G C Qiao, X K Liu, Y H Liu, C M Zhang, Yue Zuo, Pujun Zhou, Y A Liu, Ning Ning, Qi Yu, Yang Liu, ",IEEE transactions on biomedical circuits and systems,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36150001
